id_vehiculo,id_asegurado,placa,chasis,motor,marca,modelo,ano,color,tipo
VEH-00028,ASG-00082,RDF-8548,SE30G8S4YXVBOUFGB,WGRPDPYPAJY2,Mazda,CX-30,2014,Gris,SUV
VEH-00029,ASG-00472,BXU-4407,Z7ZNYW3WHV2W2YGFL,X0KYZS8NOV5M,Hyundai,Grand i10,2014,Rojo,Camioneta
VEH-00030,ASG-00202,COB-6935,L7PK3IQFC3ARJSBI5,TDSBXYXD7DI7,Renault,Logan,2015,Rojo,Camioneta
VEH-00031,ASG-00260,STJ-6180,4CG03TT0AB07M47TO,CR8BQ3FUTZ0D,Toyota,RAV4,2021,Plateado,Hatchback
VEH-00032,ASG-00091,VSW-2465,TRATP70LSW210L3BB,PEFVEOXCWD48,Mazda,CX-30,2018,Gris,Pick-up
VEH-00033,ASG-00469,LUI-8835,H4NZRGSVK3YD3CZOF,K9HP66OK1WZO,Mazda,3,2018,Plateado,Sedán
VEH-00034,ASG-00222,LNA-6355,UCYI6CNV60HNCJHI0,O93BCGN34MCK,Mazda,BT-50,2011,Azul,Camioneta
VEH-00035,ASG-00157,EHU-9790,3UP6ZDN1TMGZO94S4,I12XZZ79410Z,Mazda,2,2017,Negro,SUV
VEH-00036,ASG-00383,CUC-4975,44CAQHXFE6U83WN79,Y2RMU6Z0VPW7,Nissan,X-Trail,2014,Gris,Camioneta
VEH-00037,ASG-00088,XVZ-7475,WS9SDQ92T0GIUJ0Y6,CAYUXN099OZU,Hyundai,Grand i10,2017,Rojo,Hatchback
VEH-00038,ASG-00358,JXP-9604,KVG9LWEHUBHDY8C9T,HP0OIYESKI1G,Renault,Stepway,2017,Blanco,Camioneta
VEH-00039,ASG-00369,NZO-5257,8VULFFNVBRD4A0Z5R,QCVD37QQI4OG,Kia,Sorento,2021,Rojo,Hatchback
VEH-00040,ASG-00367,SLE-1808,E0UQJEAZG4RCXVV3K,KAD8BU87QT6C,Renault,Kwid,2019,Gris,Pick-up
VEH-00041,ASG-00016,SJG-7229,2E2LYM40CJMES79DZ,KLWJPWXEQ5HV,Renault,Kwid,2020,Azul,Hatchback
VEH-00042,ASG-00453,GKZ-0292,4321JYS0BXU6HL8US,4C20NU1YYUJ1,Hyundai,Grand i10,2013,Plateado,Hatchback
VEH-00043,ASG-00365,QMH-0414,YW0DCJX9PG9RUALQA,4BLAP8S2SYOY,Nissan,Versa,2023,Blanco,Pick-up
VEH-00044,ASG-00138,LXR-0856,PLZP4OI37YWS5GXLJ,49M7FFCHLW2Z,Renault,Duster,2014,Rojo,SUV
VEH-00045,ASG-00445,GME-6589,8V3SE6AWDXA9S51N4,3NXLGTIFFF2Z,Renault,Koleos,2017,Negro,Sedán
VEH-00046,ASG-00345,XSV-0524,7K337BPPX2RZL87GZ,I4TTP9CINLRL,Suzuki,Swift,2020,Rojo,Sedán
VEH-00047,ASG-00340,CCE-7670,2UF0YV9XWF909SFSH,L8CWNDCEQ59O,Toyota,Fortuner,2024,Gris,SUV
VEH-00048,ASG-00421,KXI-7257,RNSSQEPAYWTMR117V,0U92E07F85HK,Mazda,CX-5,2014,Azul,Hatchback
VEH-00049,ASG-00232,GIQ-6215,RFU70ZH25D3KJTZSC,W3CBRYJMKJ1Z,Toyota,Fortuner,2019,Rojo,Hatchback
VEH-00050,ASG-00423,LZC-9809,BYFLBRMAKM1YJGYCS,R4BS247N05BY,Renault,Duster,2021,Gris,SUV
VEH-00051,ASG-00418,UFO-5102,HNP3W47X9RSLEKDBP,UX5KUCPUSUB0,Ford,Bronco,2015,Blanco,SUV
VEH-00052,ASG-00474,CFT-0144,77SHJRJBA8YQT29FR,6FJ2GHNWC5YE,Suzuki,S-Cross,2025,Azul,Sedán
VEH-00053,ASG-00253,BJJ-2754,S3QMR1T4SU0159TF9,7LQ0S31LRZD3,Hyundai,Grand i10,2021,Azul,Camioneta
VEH-00054,ASG-00121,ZXX-8416,E5AC6MHZNCVOWGNH8,FRMXGZ1BZJCY,Volkswagen,Tiguan,2021,Gris,Sedán
VEH-00055,ASG-00224,RRL-5991,NRXRN6RPVN4IS1VH3,KU6MUU0F9RYS,Nissan,Frontier,2025,Azul,Pick-up
VEH-00056,ASG-00038,GTX-6126,2RS4XLWPEBAXFCFRN,UU6NE4OZWKJA,Renault,Stepway,2017,Rojo,Sedán
VEH-00057,ASG-00321,DSR-8432,GN7DPC4VAY0Y7Y81X,CL0MCNL4922F,Mazda,3,2021,Blanco,Camioneta
VEH-00058,ASG-00008,QTX-0126,25ZZEKWEFCO9L0EBS,L7SVW8X255TY,Volkswagen,Polo,2015,Rojo,SUV
VEH-00059,ASG-00105,UBW-4778,M12WH4N2WMCLYUYK7,L4IGXQJC1B2U,Chevrolet,Tracker,2024,Plateado,Sedán
VEH-00060,ASG-00342,SRS-1611,OVCJB3PNNFW4PGEMO,5EOLEJDSHYPW,Mazda,3,2019,Azul,SUV
VEH-00061,ASG-00270,WZR-8396,DZT402VB197BFZCAR,UM4NADQNUA6G,Toyota,Prado,2011,Blanco,Camioneta
VEH-00062,ASG-00405,PEL-6125,DCJ999V1G1RN6CPIQ,9TT63DPLFAAG,Kia,Cerato,2014,Rojo,Pick-up
VEH-00063,ASG-00168,VAE-4975,K1EDYIQ26HC5ZY7PP,GLCDZT3J0CUS,Chevrolet,Spark,2023,Negro,Sedán
VEH-00064,ASG-00086,UVF-1615,J74G5ND8BZERJR86H,66T4P2EW3TJG,Nissan,Kicks,2012,Blanco,Hatchback
VEH-00065,ASG-00042,END-6049,4XVPL6RR0733WPCZ2,B5CAGV4K90UY,Ford,EcoSport,2013,Gris,Camioneta
VEH-00066,ASG-00332,LNI-6700,XTJ4DO4PSIIN66K43,R781L8TVADPG,Volkswagen,Polo,2025,Rojo,SUV
VEH-00067,ASG-00221,HDK-5338,SLH0U04WOZ7HHV80M,76GXBO5QUZ4S,Mazda,BT-50,2013,Rojo,SUV
VEH-00068,ASG-00378,MKX-9466,FBNNP1I5PBS70YW1J,JD265CD2AGSQ,Kia,Sportage,2021,Azul,SUV
VEH-00069,ASG-00131,VUD-4387,6BO65OWTZ6RDRBSB9,0R2DGI3CSI7E,Volkswagen,Amarok,2021,Plateado,Sedán
VEH-00070,ASG-00448,ZBX-4104,EW6ZE13W0CEHZD41X,O3ITZBMDEM27,Nissan,Sentra,2014,Rojo,Hatchback
VEH-00071,ASG-00155,OKK-0058,V0WN0OCDETZFK84XU,NAYYYXXH6LLH,Suzuki,Baleno,2014,Blanco,Camioneta
VEH-00072,ASG-00151,OUQ-7210,CJQXF78WYKRJK0Y0L,V0A2PY9Q07KU,Suzuki,S-Cross,2025,Plateado,Hatchback
VEH-00073,ASG-00260,PWU-1282,8777LI3EPCAVUM7OV,V55COL8GURS7,Hyundai,Elantra,2015,Plateado,Hatchback
VEH-00074,ASG-00313,LSO-3399,EP4R10K53V39DK3AE,GCKR3J71NIQM,Ford,EcoSport,2010,Gris,Camioneta
VEH-00075,ASG-00268,UML-2211,MSMJBNFTCSVHKG5UV,0QE1TUPWSUNH,Suzuki,Vitara,2016,Blanco,Pick-up
VEH-00076,ASG-00127,WYZ-0501,2W8J77EHBQQWKMEU6,IPPIX22BOKP6,Suzuki,S-Cross,2012,Gris,Camioneta
VEH-00077,ASG-00014,WSC-0685,KDTAAX2IVPTHZORHN,E532FO4TH04C,Suzuki,Baleno,2025,Gris,Pick-up
VEH-00078,ASG-00245,PSO-2965,L4WN27TWAE6XQ9VML,859VPEYZ1R2H,Suzuki,Swift,2020,Gris,Camioneta
VEH-00079,ASG-00183,BEJ-1264,8FNYI63P6HPI27GV9,L5OCJDDEGBUA,Mazda,CX-5,2010,Rojo,Sedán
VEH-00080,ASG-00369,DHP-8951,46UKYEYL6TVBDZZA2,00J3241WD86X,Toyota,Prado,2019,Gris,SUV
VEH-00081,ASG-00356,AGH-8104,EK0QO60UYDMRETULY,BZZ9AKJ1FG6V,Renault,Koleos,2013,Gris,Hatchback
VEH-00082,ASG-00453,SLZ-0141,5D53YAZ7OBJGJNZTJ,4EF3SK783YI1,Kia,Picanto,2011,Blanco,Pick-up
VEH-00083,ASG-00032,YGN-3762,NDNMLCEHG4UDGC6UB,YVEIROOE4C84,Volkswagen,Tiguan,2024,Azul,Sedán
VEH-00084,ASG-00263,TCE-1989,BW0ILXJ4PEZ0FKC1S,7CAUN4YQN6ZG,Chevrolet,D-Max,2015,Plateado,Pick-up
VEH-00085,ASG-00326,SBT-5969,J76RSI9H1SG87N093,V07MS7TZ2RA1,Mazda,2,2016,Gris,SUV
VEH-00086,ASG-00336,SEE-9306,RD0ITQVLLIXZZ3AEV,AXNMYOUEHT8B,Hyundai,Creta,2023,Rojo,Hatchback
VEH-00087,ASG-00234,HBV-4995,MRAYNGF35EFWMM6NP,XIG93HA5NIJ2,Toyota,RAV4,2013,Azul,SUV
VEH-00088,ASG-00230,PNT-3135,Q1JA7FGLD4FD9GFXU,BNGP8LU3SZ1W,Renault,Duster,2025,Rojo,Sedán
VEH-00089,ASG-00397,DQV-4486,VIYDMGNLK4Q5HM11L,2B7J35HBZ7I3,Ford,Bronco,2015,Azul,Sedán
VEH-00090,ASG-00012,NIK-2622,QY92LJ89JP62FQ171,ILNH9BDB0NQ6,Toyota,RAV4,2011,Blanco,SUV
VEH-00091,ASG-00391,OGG-7206,6IM4HAX3HQEPE6RHI,O90FADC92MD6,Kia,Seltos,2018,Negro,SUV
VEH-00092,ASG-00344,BJA-9599,90KM8PM8U5B94IIC2,VWUW4ISZ5P00,Nissan,Kicks,2020,Negro,SUV
VEH-00093,ASG-00402,ALC-9977,2CP3FUQANHA6K6TT5,LHDGVJKKP0BA,Nissan,Frontier,2020,Gris,Camioneta
VEH-00094,ASG-00046,UPP-3022,VBBH30QYDYQAV7JWU,SU1OYLLXHEP5,Mazda,CX-3,2019,Plateado,Camioneta
VEH-00095,ASG-00356,FPD-0472,DL71XEINDZMQOXFTH,U6W1NC4R6RR9,Volkswagen,Tiguan,2019,Plateado,Hatchback
VEH-00096,ASG-00184,VNZ-5141,6R4NCU8KXRR96Q1X0,RFQDKX8FKPOL,Toyota,Corolla,2020,Plateado,Sedán
VEH-00097,ASG-00308,ZOV-0690,PBDK2M6T4JZX663UR,EI4X159IS1GV,Mazda,CX-3,2018,Azul,Hatchback
VEH-00098,ASG-00340,BLP-4483,UCJ0C29JVO8QPZLKT,AUAOMO7X85Z9,Hyundai,Grand i10,2012,Rojo,Pick-up
VEH-00099,ASG-00281,BTK-2873,S074UDST86CPS68N8,145D2B64M225,Suzuki,Swift,2010,Plateado,SUV
VEH-00100,ASG-00049,HAJ-8888,SOCDE0N6MYQZ2KG57,ZHTYZJIX1UDF,Nissan,Frontier,2013,Azul,Hatchback
VEH-00101,ASG-00201,NGD-5388,9K317ENWKXSQ57BPG,JA7L49O2EJ85,Mazda,BT-50,2012,Rojo,Hatchback
VEH-00102,ASG-00466,UXH-4881,2N2I43BB7BNMJWBMC,K7GO3P7ENFG3,Chevrolet,Sail,2012,Plateado,Camioneta
VEH-00103,ASG-00424,URZ-4335,B1GHKTCI9Q5BJN3Y6,K0IFPRKWWKXT,Ford,EcoSport,2011,Gris,Pick-up
VEH-00104,ASG-00091,RSI-7748,PWIWYR3RLXS1U0KOT,3792ZVND3YMZ,Mazda,3,2016,Rojo,SUV
VEH-00105,ASG-00003,XRZ-4132,NHV440ZN5O4HXBJF7,AZLP26XIBXG2,Hyundai,Santa Fe,2021,Rojo,Sedán
VEH-00106,ASG-00397,ILS-7504,7XXCXBFQA5CK7FG5C,DTYY69B8B059,Renault,Duster,2017,Rojo,Hatchback
VEH-00107,ASG-00281,IIE-4479,5TTP5AFX8ERSKJU5C,E3JL0P9EAF3E,Kia,Cerato,2022,Blanco,Hatchback
VEH-00108,ASG-00129,NLA-4386,Z0SOKNWOVPQBGAZ2H,SMS31MRZQLPZ,Ford,Bronco,2010,Azul,Hatchback
VEH-00109,ASG-00449,NKR-7206,E1XQKU4DQRQAYMUJR,EGYHHPZDF4BP,Suzuki,S-Cross,2012,Rojo,Pick-up
VEH-00110,ASG-00251,FOC-0348,K9DPTJX6DORIHU9ST,4LJ2XWQXMRKN,Nissan,March,2024,Azul,Camioneta
VEH-00111,ASG-00427,PDX-1010,5WFHEB21B9XZHGR3T,0ZPCCE1IEOKN,Chevrolet,Equinox,2023,Plateado,Pick-up
VEH-00112,ASG-00435,IOZ-5360,KPI3BK59K910SIOGO,Z6FV9T08MG9V,Hyundai,Elantra,2021,Negro,SUV
VEH-00113,ASG-00495,EXY-5483,OW8M6CBXROR8DORIB,8DFNVKDK87PD,Nissan,Kicks,2023,Azul,SUV
VEH-00114,ASG-00300,AIF-0601,XYBPNBM736Z8VAC13,LW02CA51SNOQ,Toyota,Fortuner,2013,Azul,Pick-up
VEH-00115,ASG-00293,DEV-3990,IMHI8BA4KXQ65SHU1,S7VZWX2Z2IMM,Hyundai,Creta,2018,Blanco,SUV
VEH-00116,ASG-00489,DUQ-2492,MPNZJQ6TRN73WCTDD,AYQR7SP1BAV4,Toyota,Hilux,2023,Negro,Hatchback
VEH-00117,ASG-00274,BTS-6986,6D975MGZGQCHB0IYT,N2OFIUQW6RZP,Nissan,Kicks,2011,Plateado,Pick-up
VEH-00118,ASG-00145,QNO-3602,IVWNH4LQRWZWWYE8P,TMD2FBP89S7G,Ford,Escape,2020,Rojo,Hatchback
VEH-00119,ASG-00484,PGI-1911,NBNYA2SDCEZVFDZFG,N1AAM3693O9Y,Chevrolet,Aveo,2021,Negro,Camioneta
VEH-00120,ASG-00212,VFD-3579,AE4NLP04RZGNJ2NBG,DKIS9PO1PK9D,Mazda,BT-50,2015,Negro,Pick-up
VEH-00121,ASG-00133,AZY-3417,BZEZARA8JVGM9HS2L,JLK4XI7XKSVU,Ford,EcoSport,2013,Rojo,Sedán
VEH-00122,ASG-00266,BNA-6389,O6KYGQYXNYYH9SUXW,9JOLGNJE65ND,Renault,Stepway,2010,Plateado,SUV
VEH-00123,ASG-00263,JPN-4603,SV8ZFVJ53ELHPEZCU,CJB0RRMP844G,Chevrolet,Equinox,2024,Plateado,Camioneta
VEH-00124,ASG-00408,UHH-4610,EDIKBFCU7BIHPTM54,BMD3OPHI3JTF,Nissan,March,2020,Negro,Camioneta
VEH-00125,ASG-00074,HSD-7821,DN18C3PF8VCPSPQMD,Y0HHU2OCMR8T,Ford,Ranger,2017,Azul,Camioneta
VEH-00126,ASG-00233,MYR-3969,64FBV3Y8RX23LRF4H,0J3X14SVUIML,Chevrolet,Sail,2015,Blanco,Pick-up
VEH-00127,ASG-00292,IKK-9322,H20YEWSCMNA0OCVL7,MI0F7JX5O37H,Chevrolet,Cruze,2019,Azul,Camioneta
VEH-00128,ASG-00411,IGP-7001,NBDN44PGCK0IBC8SP,FNFLAHD7FS2Y,Volkswagen,Polo,2012,Rojo,Sedán
VEH-00129,ASG-00428,ETJ-4571,OO4M7HX5DC0BZ9H0F,XW0MI4RIM6D6,Volkswagen,Amarok,2024,Blanco,SUV
VEH-00130,ASG-00451,OBL-3585,0SRF4BJGX58NU9YNR,BFZU5WMD6DPG,Volkswagen,Polo,2014,Plateado,Hatchback
VEH-00131,ASG-00038,CLH-2304,G0ENZL8IWP8MKFYBC,ED6KI6FAF05K,Chevrolet,Aveo,2015,Azul,Pick-up
VEH-00132,ASG-00287,ULE-4097,D0YH3P3DZ6Y8WB0UI,0XEEAYNUPLE7,Kia,Rio,2025,Rojo,Camioneta
VEH-00133,ASG-00336,DFV-0970,ORTCQ1DY3273IWGKW,EXF2G6RZ9S4Y,Hyundai,Tucson,2019,Azul,Sedán
VEH-00134,ASG-00254,TIS-9576,JH6GZ9JBT2AMZBGTH,BDCLPQKB3R4H,Toyota,Corolla,2025,Blanco,Sedán
VEH-00135,ASG-00408,QMW-0990,W5KP5XSZML34TDKNC,85MCMQTBM84E,Renault,Kwid,2010,Gris,Pick-up
VEH-00136,ASG-00026,DJK-5561,NW231X9BE6Q4HH13O,MHYDZ6F2N5YL,Hyundai,Santa Fe,2017,Azul,Pick-up
VEH-00137,ASG-00021,VJE-9404,0YLXXNMFUJ1CI42CS,MVSWOG0PQ3LP,Nissan,Versa,2022,Rojo,Hatchback
VEH-00138,ASG-00412,MKZ-2137,6RGBMI5SRVTMU1UQB,2XNMX2LLEO1I,Nissan,Sentra,2018,Rojo,Sedán
VEH-00139,ASG-00453,YIB-8091,7FO7YXUAPO0K3NGKP,9XTBTZAQ9B11,Nissan,Sentra,2023,Rojo,SUV
VEH-00140,ASG-00224,YOG-1074,8NSSCCR1Q1YUBKWZD,TR281YZDUL5Z,Suzuki,Baleno,2019,Rojo,Sedán
VEH-00141,ASG-00091,ZOV-3561,KPYD3CAA3EQIT3V7C,7KBSZ7YMSHOD,Ford,EcoSport,2024,Gris,Pick-up
VEH-00142,ASG-00440,FCJ-3820,20U9DPBQITWLAZG3Z,OL9588HWT6EX,Mazda,CX-30,2010,Azul,SUV
VEH-00143,ASG-00434,IFP-5834,RSMYJRSVXYNIIP3J5,5DADA2SERSLM,Hyundai,Santa Fe,2011,Azul,Sedán
VEH-00144,ASG-00481,VHQ-0139,DDEIIHJWBRHHHHMTU,8YG64NYZLOKK,Nissan,Kicks,2010,Negro,Pick-up
VEH-00145,ASG-00391,FMT-3652,XAHHJE0SCNKUZAUJJ,9CREYD6YBFN6,Chevrolet,Aveo,2015,Rojo,Sedán
VEH-00146,ASG-00424,VHM-9632,ZR0JMQX91JKSRMETQ,VRW24F1PQ7PP,Kia,Rio,2022,Azul,SUV
VEH-00147,ASG-00322,ODF-6007,77PYFF3GBKPBAX80Z,PNUVQ9LNJXEM,Hyundai,Grand i10,2017,Gris,Camioneta
VEH-00148,ASG-00193,MLW-0508,GIK3OGH1HC18G4AQU,JF4QKHA80UYL,Mazda,CX-5,2019,Blanco,Sedán
VEH-00149,ASG-00458,OHL-0759,ESHI29RB52XK5U1JP,GEQTOUJ0M8L8,Toyota,RAV4,2023,Gris,Pick-up
VEH-00150,ASG-00234,NME-8253,UHVSFNDTPI00I3ODT,VJYOLDLNDFUQ,Suzuki,Baleno,2019,Blanco,Sedán
VEH-00151,ASG-00310,OTF-6593,4DHLO758ZIJ1FT109,9LTR0ZCOGJJZ,Ford,EcoSport,2023,Plateado,Sedán
VEH-00152,ASG-00221,BQT-3758,6TNH82ZOJ02M1K0TQ,HEH1F90COJA8,Mazda,CX-5,2024,Blanco,Hatchback
VEH-00153,ASG-00333,ULW-9800,1OA408PWOV36I8UF4,VWMZ6ZLIRUKX,Toyota,Fortuner,2010,Gris,Camioneta
VEH-00154,ASG-00178,SLK-5061,5JJG4D9FS2BXR9VOK,AUTUVO9K591O,Ford,EcoSport,2025,Gris,Sedán
VEH-00155,ASG-00354,RWU-3664,W4I20B1CGXYS1TMUL,L5OPLXZDP63W,Hyundai,Grand i10,2020,Gris,SUV
VEH-00156,ASG-00232,FZR-4028,UHZHDD8DHW0LZVPAO,TU2P88CM3LOQ,Hyundai,Accent,2016,Negro,Hatchback
VEH-00157,ASG-00364,QJK-5630,HLU9TY5G848YI8B9L,9MNUU3CCZ949,Ford,Explorer,2012,Rojo,Hatchback
VEH-00158,ASG-00179,JES-8558,DFKOITT6T2N19MJ5V,EC7MLJT9CGRR,Toyota,Hilux,2022,Plateado,Sedán
VEH-00159,ASG-00107,BJM-7936,62T9S0X56JIC0VMGQ,2T5N259M3YL0,Kia,Cerato,2024,Azul,Pick-up
VEH-00160,ASG-00321,GLV-3570,7WVCDE7Y8PR0E8HA9,R2D3BNOP1KTK,Mazda,BT-50,2011,Plateado,Hatchback
VEH-00161,ASG-00310,DLP-9784,SR6WRDS3WC7Q8EHC8,UORSOIFDZU7Z,Kia,Cerato,2012,Gris,Camioneta
VEH-00162,ASG-00056,RJM-9714,CWZFK6SHNAOYSZOS7,CE9QZMGFPA8G,Chevrolet,Aveo,2010,Blanco,SUV
VEH-00163,ASG-00485,QDW-8535,JZSPMOZ3E24NPSD14,C47N4Q60CABI,Ford,EcoSport,2015,Gris,Pick-up
VEH-00164,ASG-00027,OZT-3625,TR6QH09VVJWDWZYFN,LF7VXW1FL64J,Chevrolet,Sail,2022,Plateado,Camioneta
VEH-00165,ASG-00398,YEP-0225,NCGWIEWFGXR9UAWAZ,FHVSWX5FIVFC,Nissan,X-Trail,2018,Plateado,Sedán
VEH-00166,ASG-00050,BDB-7985,XZXWSP7YNAOWWQZPB,KK18PN2JD6J8,Ford,Escape,2020,Rojo,Pick-up
VEH-00167,ASG-00345,ZFC-7910,TYX2Y95MA0R1P2HK3,WMM3QU15W9Y4,Chevrolet,Aveo,2016,Negro,Pick-up
VEH-00168,ASG-00496,YZV-2199,9YOATT1N6QHVULRTI,ZSMT5NYO3OAY,Chevrolet,Sail,2021,Plateado,Camioneta
VEH-00169,ASG-00136,HKK-7620,WVDX4T7C1169D1IYR,N2MS2298TC0I,Kia,Picanto,2014,Blanco,Camioneta
VEH-00170,ASG-00365,ZEE-0780,M47KONB1D7JKNOQ0A,RT4GRYCRDP6P,Kia,Cerato,2015,Rojo,SUV
VEH-00171,ASG-00297,PDZ-9401,8R9Z9S05PSW5GV6BQ,U03UHQ6MBQEP,Hyundai,Elantra,2022,Negro,Hatchback
VEH-00172,ASG-00251,POR-3801,0GDMMH0Z1F7LE116F,WA0X0NB5D7U4,Hyundai,Tucson,2024,Azul,Sedán
VEH-00173,ASG-00400,KXE-3991,TOY56RDS2PW9PD3DO,5YAEYAUOF5RX,Toyota,Yaris,2020,Blanco,Pick-up
VEH-00174,ASG-00066,FKM-8191,93Y5WLVKOMU6219W4,W3MC1ODOB2MQ,Nissan,March,2010,Azul,Hatchback
VEH-00175,ASG-00317,DCC-2462,K3VT54EPJJS07UVVG,Q4GF5IIS02TA,Ford,Explorer,2012,Azul,Camioneta
VEH-00176,ASG-00397,JKM-0776,N2YZSNO4XY07T7TKS,RIG38E1WRZ1S,Mazda,CX-30,2013,Gris,Camioneta
VEH-00177,ASG-00184,XNC-6475,HJ57NVBVIXZD662ZX,MDQFESO083QJ,Chevrolet,Sail,2015,Gris,Camioneta
VEH-00178,ASG-00093,DYE-5601,QSXPM25UCAKX06L08,AVPWZWSX4VP6,Suzuki,Swift,2023,Gris,Pick-up
VEH-00179,ASG-00256,REZ-1170,ZFUU9QKSQU4Z33S3R,GIIMTAR9LEVV,Hyundai,Creta,2011,Negro,Pick-up
VEH-00180,ASG-00223,ZNO-0427,52S1N0JCAN6EZRLOH,92GZ2L6YOKD6,Nissan,Frontier,2025,Negro,Hatchback
VEH-00181,ASG-00432,NBO-7163,7OF91TXAQ3JXNEV7Q,374BFH28ZLQC,Chevrolet,Aveo,2018,Blanco,Sedán
VEH-00182,ASG-00033,XDZ-1144,RRPRC1DR36XX91MHU,SMZYLL2WUM9Q,Ford,Ranger,2019,Azul,SUV
VEH-00183,ASG-00485,PRM-6146,WQRKW5FVRLJUPJOEA,1XNWC3MR7PC3,Renault,Logan,2025,Azul,Camioneta
VEH-00184,ASG-00449,CCF-4541,A6SG0ICKQD7ZGGOAC,A1K5S8OX062B,Mazda,BT-50,2023,Gris,Sedán
VEH-00185,ASG-00311,AQR-9644,IL0NG7B2NOBNARWX9,ZN4YZF5UN3NA,Mazda,3,2020,Plateado,Pick-up
VEH-00186,ASG-00413,TOT-9854,M7BHAGJFO56HUQCMW,9JNYQ8EM3WMJ,Ford,Ranger,2016,Gris,SUV
VEH-00187,ASG-00103,TGJ-6123,DSVHFAC908KC2U3L6,3TXOF9GPVJ5V,Volkswagen,Polo,2014,Negro,SUV
VEH-00188,ASG-00458,AQP-6444,JE2I5B1L2LNNJD2M0,VXKADAQFA3HO,Nissan,Frontier,2019,Blanco,SUV
