id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00021,ASG-00134,Vehículos,2024-04-14,2025-04-14,4095.42,142986.96,3665.76,Digital,Manta,Activa
POL-00022,ASG-00074,Generales,2023-05-15,2024-05-14,2427.9,121359.14,1887.61,Broker,Portoviejo,Cancelada
POL-00023,ASG-00085,Generales,2024-07-29,2025-07-29,375.63,13375.61,642.54,Directo,Loja,Vencida
POL-00024,ASG-00307,Hogar,2023-03-02,2024-03-01,496.82,7910.81,194.7,Broker,Quito,Activa
POL-00025,ASG-00190,Vida,2023-04-03,2024-04-02,5889.09,135063.24,5726.91,Directo,Santo Domingo,Activa
POL-00026,ASG-00465,Hogar,2023-11-15,2024-11-14,1510.12,52993.02,1584.06,Broker,Loja,Activa
POL-00027,ASG-00319,Vida,2023-10-18,2024-10-17,1809.29,53477.91,1513.78,Agente,Riobamba,Activa
POL-00028,ASG-00272,Hogar,2024-07-03,2025-07-03,3458.0,61150.2,318.73,Agente,Riobamba,Activa
POL-00029,ASG-00321,Hogar,2023-10-08,2024-10-07,613.26,13292.29,173.39,Bancaseguros,Manta,Vencida
POL-00030,ASG-00345,Hogar,2024-11-26,2025-11-26,1194.48,40690.34,1520.14,Agente,Manta,Activa
POL-00031,ASG-00353,Generales,2023-04-30,2024-04-29,1695.49,33768.9,997.02,Agente,Cuenca,Activa
POL-00032,ASG-00089,Vehículos,2023-06-08,2024-06-07,3010.96,76728.24,1420.2,Agente,Machala,Activa
POL-00033,ASG-00103,Hogar,2023-09-05,2024-09-04,1192.85,24328.04,845.45,Agente,Guayaquil,Vencida
POL-00034,ASG-00337,Salud,2024-01-13,2025-01-12,2435.78,74393.96,1971.24,Digital,Ambato,Activa
POL-00035,ASG-00320,Generales,2023-06-24,2024-06-23,1417.62,19259.45,687.23,Directo,Portoviejo,Vencida
POL-00036,ASG-00298,Vida,2023-03-20,2024-03-19,7595.29,135957.36,4898.55,Agente,Ambato,Vencida
POL-00037,ASG-00179,Generales,2023-11-05,2024-11-04,2973.78,93655.81,2756.44,Directo,Ambato,Activa
POL-00038,ASG-00180,Generales,2024-01-15,2025-01-14,2335.65,94764.65,1535.56,Agente,Santo Domingo,Cancelada
POL-00039,ASG-00231,Vida,2024-08-22,2025-08-22,3411.84,101056.11,4659.53,Agente,Ambato,Cancelada
POL-00040,ASG-00347,Hogar,2023-09-19,2024-09-18,1030.88,13477.19,416.0,Directo,Guayaquil,Activa
POL-00041,ASG-00426,Vehículos,2023-12-27,2024-12-26,2582.65,44591.78,1660.67,Digital,Riobamba,Cancelada
POL-00042,ASG-00239,Generales,2024-04-06,2025-04-06,7038.9,101228.45,806.91,Bancaseguros,Quito,Activa
POL-00043,ASG-00234,Hogar,2024-11-16,2025-11-16,1373.08,19299.87,635.44,Bancaseguros,Santo Domingo,Activa
POL-00044,ASG-00197,Hogar,2023-12-03,2024-12-02,4187.15,55969.3,800.49,Agente,Manta,Vencida
POL-00045,ASG-00491,Salud,2023-07-31,2024-07-30,4370.3,139376.14,1571.14,Agente,Quito,Cancelada
POL-00046,ASG-00241,Salud,2023-08-30,2024-08-29,1037.77,13614.23,596.2,Agente,Riobamba,Activa
POL-00047,ASG-00185,Vida,2023-12-19,2024-12-18,1051.33,18204.53,105.41,Directo,Ibarra,Cancelada
POL-00048,ASG-00261,Generales,2024-11-28,2025-11-28,6924.09,118064.79,2403.12,Agente,Santo Domingo,Activa
POL-00049,ASG-00469,Generales,2024-10-07,2025-10-07,3286.0,125744.04,4542.34,Digital,Portoviejo,Vencida
POL-00050,ASG-00119,Hogar,2024-08-10,2025-08-10,711.46,12418.49,508.88,Directo,Portoviejo,Activa
POL-00051,ASG-00321,Vida,2024-08-23,2025-08-23,2336.46,91637.76,2886.76,Directo,Riobamba,Activa
POL-00052,ASG-00403,Generales,2023-02-22,2024-02-22,3085.43,55620.19,714.53,Agente,Portoviejo,Vencida
POL-00053,ASG-00378,Vida,2023-02-16,2024-02-16,5869.93,75550.88,378.99,Agente,Cuenca,Activa
POL-00054,ASG-00378,Vehículos,2023-03-05,2024-03-04,4521.56,61353.84,856.93,Directo,Ambato,Activa
POL-00055,ASG-00188,Salud,2023-10-24,2024-10-23,3474.7,85745.47,3633.6,Bancaseguros,Santo Domingo,Activa
POL-00056,ASG-00291,Vida,2023-11-08,2024-11-07,3789.16,114286.11,5361.67,Directo,Portoviejo,Activa
POL-00057,ASG-00338,Generales,2024-01-26,2025-01-25,7161.5,131055.5,5768.94,Directo,Guayaquil,Cancelada
POL-00058,ASG-00159,Vehículos,2023-09-08,2024-09-07,9280.26,121862.15,4245.28,Bancaseguros,Ibarra,Vencida
POL-00059,ASG-00024,Vida,2024-02-14,2025-02-13,1808.95,32829.2,449.96,Bancaseguros,Esmeraldas,Vencida
POL-00060,ASG-00153,Salud,2024-07-17,2025-07-17,11138.83,146906.41,1179.33,Directo,Santo Domingo,Activa
POL-00061,ASG-00022,Vehículos,2024-07-27,2025-07-27,2118.06,37790.24,323.33,Broker,Santo Domingo,Cancelada
POL-00062,ASG-00225,Hogar,2024-09-07,2025-09-07,4632.05,134960.17,4510.16,Directo,Santo Domingo,Activa
POL-00063,ASG-00093,Generales,2024-02-09,2025-02-08,3218.16,75471.75,953.34,Digital,Quito,Activa
POL-00064,ASG-00195,Hogar,2024-05-29,2025-05-29,1133.91,16810.44,95.79,Agente,Machala,Cancelada
POL-00065,ASG-00148,Salud,2023-05-30,2024-05-29,1401.68,48740.89,1016.08,Digital,Cuenca,Activa
POL-00066,ASG-00158,Vida,2024-03-04,2025-03-04,6191.31,95870.8,1616.5,Broker,Machala,Activa
POL-00067,ASG-00046,Salud,2023-05-17,2024-05-16,10762.92,143674.09,4400.91,Directo,Quito,Vencida
POL-00068,ASG-00374,Hogar,2024-01-12,2025-01-11,3565.5,63276.93,1513.61,Agente,Riobamba,Cancelada
POL-00069,ASG-00498,Vehículos,2024-12-25,2025-12-25,4550.11,91590.25,1513.17,Directo,Manta,Activa
POL-00070,ASG-00202,Hogar,2024-10-23,2025-10-23,7481.2,142096.6,3921.32,Agente,Quito,Activa
POL-00071,ASG-00277,Hogar,2023-01-12,2024-01-12,2343.8,112446.66,4996.99,Digital,Quito,Cancelada
POL-00072,ASG-00033,Generales,2023-07-07,2024-07-06,3047.86,115877.43,1882.32,Digital,Manta,Activa
POL-00073,ASG-00224,Vehículos,2023-11-19,2024-11-18,2124.29,39738.4,245.84,Digital,Loja,Vencida
POL-00074,ASG-00431,Hogar,2024-06-03,2025-06-03,1424.95,27208.41,1141.68,Broker,Cuenca,Cancelada
POL-00075,ASG-00111,Generales,2024-10-12,2025-10-12,4114.58,116291.05,5583.64,Agente,Riobamba,Vencida
POL-00076,ASG-00424,Hogar,2023-12-11,2024-12-10,8560.65,149778.17,7003.12,Digital,Manta,Activa
POL-00077,ASG-00481,Hogar,2023-11-08,2024-11-07,5136.87,99749.49,4397.17,Digital,Loja,Activa
POL-00078,ASG-00422,Vida,2024-01-01,2024-12-31,9658.75,145111.89,7175.02,Bancaseguros,Manta,Activa
POL-00079,ASG-00347,Vehículos,2024-05-08,2025-05-08,2690.4,75434.15,2892.64,Agente,Riobamba,Activa
POL-00080,ASG-00130,Generales,2024-04-29,2025-04-29,10812.39,136365.31,4072.44,Agente,Ibarra,Cancelada
POL-00081,ASG-00300,Generales,2024-08-07,2025-08-07,652.87,8952.43,317.94,Directo,Guayaquil,Activa
POL-00082,ASG-00079,Vehículos,2024-01-03,2025-01-02,2324.6,31965.77,771.34,Agente,Ambato,Activa
POL-00083,ASG-00187,Hogar,2024-09-14,2025-09-14,3713.7,97347.44,4150.72,Bancaseguros,Manta,Cancelada
POL-00084,ASG-00311,Hogar,2024-04-08,2025-04-08,1991.9,84233.87,2292.38,Digital,Santo Domingo,Activa
POL-00085,ASG-00223,Hogar,2024-08-11,2025-08-11,2996.21,42564.92,553.98,Agente,Cuenca,Cancelada
POL-00086,ASG-00140,Vida,2024-06-21,2025-06-21,6730.35,121612.68,2453.17,Agente,Cuenca,Activa
POL-00087,ASG-00016,Vehículos,2023-06-22,2024-06-21,7315.6,105776.91,3771.58,Digital,Loja,Activa
POL-00088,ASG-00300,Vida,2023-02-15,2024-02-15,494.32,12414.7,598.04,Directo,Machala,Cancelada
POL-00089,ASG-00347,Vida,2024-12-02,2025-12-02,7660.37,138077.57,6867.56,Broker,Portoviejo,Activa
POL-00090,ASG-00414,Generales,2024-12-23,2025-12-23,2997.76,89482.78,2573.23,Digital,Santo Domingo,Activa
POL-00091,ASG-00374,Vida,2023-01-05,2024-01-05,4552.1,66284.36,1085.69,Broker,Portoviejo,Cancelada
POL-00092,ASG-00205,Hogar,2023-03-12,2024-03-11,2979.11,120384.31,3821.67,Directo,Esmeraldas,Vencida
POL-00093,ASG-00117,Vehículos,2024-09-24,2025-09-24,2701.62,45942.55,820.91,Directo,Manta,Vencida
POL-00094,ASG-00145,Generales,2024-05-10,2025-05-10,3584.77,70761.33,650.18,Digital,Esmeraldas,Cancelada
POL-00095,ASG-00444,Vida,2024-08-07,2025-08-07,5335.74,70106.02,2875.33,Bancaseguros,Manta,Cancelada
POL-00096,ASG-00398,Vida,2024-11-07,2025-11-07,171.12,7588.94,362.74,Directo,Loja,Cancelada
POL-00097,ASG-00035,Generales,2023-05-22,2024-05-21,3383.88,141032.05,3870.79,Directo,Ibarra,Vencida
POL-00098,ASG-00041,Salud,2024-03-28,2025-03-28,2203.0,35373.55,919.08,Digital,Quito,Activa
POL-00099,ASG-00334,Hogar,2024-10-04,2025-10-04,8021.78,148833.95,2197.18,Broker,Ibarra,Activa
POL-00100,ASG-00458,Hogar,2024-07-13,2025-07-13,3330.24,127518.03,5642.02,Digital,Santo Domingo,Activa
POL-00101,ASG-00482,Generales,2023-08-22,2024-08-21,8412.93,112878.03,5592.63,Broker,Ambato,Activa
POL-00102,ASG-00169,Vida,2023-02-09,2024-02-09,4535.11,122893.23,3824.41,Agente,Riobamba,Activa
POL-00103,ASG-00107,Vehículos,2024-10-19,2025-10-19,4322.26,99208.27,1965.51,Directo,Manta,Activa
POL-00104,ASG-00411,Vida,2023-06-21,2024-06-20,8601.36,146084.32,5443.15,Broker,Ambato,Activa
POL-00105,ASG-00211,Salud,2024-06-27,2025-06-27,3223.47,100129.24,1484.75,Bancaseguros,Loja,Cancelada
POL-00106,ASG-00152,Generales,2024-09-25,2025-09-25,1772.87,43954.67,1287.61,Bancaseguros,Guayaquil,Cancelada
POL-00107,ASG-00364,Hogar,2023-01-11,2024-01-11,5114.4,91147.17,1550.76,Broker,Santo Domingo,Activa
POL-00108,ASG-00341,Hogar,2023-06-20,2024-06-19,3569.59,50220.17,2296.75,Directo,Portoviejo,Activa
POL-00109,ASG-00037,Generales,2024-09-30,2025-09-30,1062.15,43088.43,1936.88,Agente,Loja,Activa
POL-00110,ASG-00111,Generales,2023-06-06,2024-06-05,10084.52,138180.66,2330.22,Broker,Portoviejo,Cancelada
POL-00111,ASG-00159,Salud,2023-04-13,2024-04-12,495.84,9144.88,60.71,Agente,Portoviejo,Vencida
POL-00112,ASG-00428,Vida,2023-12-01,2024-11-30,1161.38,35428.23,1610.37,Directo,Quito,Activa
POL-00113,ASG-00025,Vehículos,2023-02-20,2024-02-20,4221.14,68213.59,801.34,Agente,Ambato,Activa
POL-00114,ASG-00478,Hogar,2023-10-17,2024-10-16,484.76,10520.53,493.32,Broker,Cuenca,Cancelada
POL-00115,ASG-00134,Salud,2024-01-14,2025-01-13,8982.89,136557.61,2829.26,Agente,Esmeraldas,Activa
POL-00116,ASG-00165,Hogar,2024-07-06,2025-07-06,4122.1,58608.39,827.58,Directo,Portoviejo,Cancelada
POL-00117,ASG-00371,Hogar,2023-11-29,2024-11-28,2668.6,91341.16,662.12,Broker,Portoviejo,Vencida
POL-00118,ASG-00153,Hogar,2024-02-28,2025-02-27,4620.61,70936.24,943.42,Directo,Esmeraldas,Activa
POL-00119,ASG-00350,Salud,2023-03-15,2024-03-14,7664.28,126706.6,4298.3,Bancaseguros,Esmeraldas,Activa
POL-00120,ASG-00145,Vehículos,2023-07-19,2024-07-18,2484.32,41977.64,942.75,Bancaseguros,Portoviejo,Activa
POL-00121,ASG-00295,Generales,2023-09-21,2024-09-20,1372.73,28021.19,465.38,Digital,Manta,Vencida
POL-00122,ASG-00418,Salud,2024-10-20,2025-10-20,1485.64,59073.36,2819.26,Directo,Santo Domingo,Vencida
POL-00123,ASG-00302,Vida,2024-12-30,2025-12-30,372.26,16152.02,90.41,Agente,Ambato,Activa
POL-00124,ASG-00468,Vehículos,2023-07-13,2024-07-12,6535.76,107150.76,1331.94,Directo,Loja,Cancelada
POL-00125,ASG-00147,Vida,2024-04-08,2025-04-08,2758.8,60707.74,919.99,Agente,Manta,Activa
POL-00126,ASG-00299,Generales,2024-09-10,2025-09-10,2759.17,76149.57,1135.8,Digital,Ibarra,Activa
POL-00127,ASG-00428,Salud,2023-06-09,2024-06-08,3087.6,44030.7,2057.11,Broker,Ibarra,Activa
POL-00128,ASG-00488,Generales,2024-06-07,2025-06-07,9929.01,124651.22,5077.59,Broker,Loja,Activa
POL-00129,ASG-00281,Salud,2024-04-08,2025-04-08,3073.96,133014.33,3122.96,Digital,Cuenca,Cancelada
POL-00130,ASG-00396,Hogar,2024-11-24,2025-11-24,2869.12,97954.1,895.51,Digital,Cuenca,Cancelada
POL-00131,ASG-00220,Vida,2023-01-05,2024-01-05,8400.1,123418.81,1952.67,Digital,Loja,Vencida
POL-00132,ASG-00076,Vehículos,2024-10-08,2025-10-08,4857.24,80992.76,2518.6,Broker,Ambato,Activa
POL-00133,ASG-00429,Hogar,2023-04-17,2024-04-16,324.56,8239.76,183.57,Agente,Ambato,Activa
POL-00134,ASG-00047,Vida,2023-05-18,2024-05-17,1879.41,24071.49,353.68,Digital,Loja,Activa
POL-00135,ASG-00178,Vida,2023-06-20,2024-06-19,1378.29,55568.01,2659.44,Broker,Quito,Activa
POL-00136,ASG-00203,Hogar,2023-04-15,2024-04-14,961.07,21541.4,789.25,Broker,Loja,Cancelada
POL-00137,ASG-00277,Generales,2024-11-10,2025-11-10,1376.69,64216.63,2929.52,Agente,Manta,Vencida
POL-00138,ASG-00273,Generales,2023-03-08,2024-03-07,3970.52,149660.81,5039.58,Directo,Quito,Vencida
POL-00139,ASG-00183,Vehículos,2024-03-20,2025-03-20,2344.87,40414.59,280.67,Directo,Machala,Activa
POL-00140,ASG-00129,Salud,2023-12-05,2024-12-04,1297.56,34364.76,961.37,Agente,Guayaquil,Vencida
POL-00141,ASG-00034,Hogar,2024-04-23,2025-04-23,2410.11,49214.78,980.15,Directo,Esmeraldas,Cancelada
POL-00142,ASG-00369,Generales,2023-05-24,2024-05-23,1466.91,57356.08,1783.13,Directo,Loja,Activa
POL-00143,ASG-00086,Vida,2023-03-25,2024-03-24,1867.63,25870.78,1049.67,Directo,Quito,Vencida
POL-00144,ASG-00281,Vida,2024-06-24,2025-06-24,2407.14,41911.04,2020.54,Broker,Portoviejo,Cancelada
POL-00145,ASG-00443,Hogar,2023-11-22,2024-11-21,4330.41,134245.68,1600.52,Bancaseguros,Cuenca,Vencida
POL-00146,ASG-00450,Vida,2024-03-18,2025-03-18,2321.31,47732.11,1463.3,Directo,Machala,Cancelada
POL-00147,ASG-00076,Salud,2024-01-26,2025-01-25,1802.13,60014.12,2139.31,Bancaseguros,Guayaquil,Cancelada
POL-00148,ASG-00476,Generales,2024-05-04,2025-05-04,6101.89,82417.58,3222.04,Directo,Guayaquil,Cancelada
POL-00149,ASG-00275,Vehículos,2023-10-06,2024-10-05,3737.0,146966.3,6591.92,Digital,Guayaquil,Activa
POL-00150,ASG-00192,Vehículos,2023-01-12,2024-01-12,2676.87,91679.94,3224.64,Bancaseguros,Santo Domingo,Cancelada
POL-00151,ASG-00201,Generales,2024-06-02,2025-06-02,4833.63,136693.09,4508.03,Digital,Portoviejo,Activa
POL-00152,ASG-00150,Generales,2023-10-15,2024-10-14,3241.5,99528.22,1041.36,Directo,Ibarra,Activa
POL-00153,ASG-00347,Generales,2024-03-17,2025-03-17,467.59,9199.55,420.9,Bancaseguros,Portoviejo,Activa
POL-00154,ASG-00148,Generales,2024-04-28,2025-04-28,6119.33,80375.6,3915.22,Bancaseguros,Portoviejo,Activa
POL-00155,ASG-00205,Salud,2023-02-09,2024-02-09,2086.36,101526.88,2294.53,Bancaseguros,Loja,Activa
POL-00156,ASG-00376,Generales,2024-06-10,2025-06-10,5317.73,86258.47,4291.56,Bancaseguros,Quito,Activa
POL-00157,ASG-00302,Hogar,2024-07-13,2025-07-13,4564.39,100366.02,3328.09,Directo,Loja,Cancelada
POL-00158,ASG-00136,Generales,2024-10-01,2025-10-01,1463.29,30643.94,653.01,Directo,Portoviejo,Activa
POL-00159,ASG-00266,Hogar,2024-02-04,2025-02-03,1374.91,31617.68,942.16,Broker,Esmeraldas,Activa
POL-00160,ASG-00122,Vida,2024-07-17,2025-07-17,4276.42,86252.25,2037.36,Digital,Machala,Activa
POL-00161,ASG-00075,Vida,2024-07-02,2025-07-02,587.54,20245.44,912.65,Agente,Ambato,Activa
POL-00162,ASG-00054,Generales,2023-03-23,2024-03-22,1241.63,47119.0,863.02,Agente,Cuenca,Cancelada
POL-00163,ASG-00039,Generales,2024-01-10,2025-01-09,3689.05,59607.21,926.55,Digital,Machala,Cancelada
POL-00164,ASG-00409,Generales,2023-09-20,2024-09-19,2269.95,55396.91,2686.29,Directo,Ambato,Activa
POL-00165,ASG-00316,Vida,2023-07-16,2024-07-15,3411.66,108298.55,3848.66,Bancaseguros,Portoviejo,Activa
POL-00166,ASG-00248,Generales,2024-08-06,2025-08-06,358.91,12068.14,471.08,Agente,Portoviejo,Activa
POL-00167,ASG-00467,Salud,2023-03-21,2024-03-20,1823.56,37075.4,431.04,Broker,Manta,Activa
POL-00168,ASG-00092,Vida,2024-01-04,2025-01-03,808.32,30747.43,896.21,Bancaseguros,Ibarra,Vencida
POL-00169,ASG-00001,Vida,2024-07-03,2025-07-03,6677.02,142433.92,5268.75,Digital,Guayaquil,Activa
POL-00170,ASG-00126,Vehículos,2024-01-20,2025-01-19,2240.94,38708.62,553.72,Digital,Riobamba,Vencida
POL-00171,ASG-00419,Salud,2023-08-25,2024-08-24,2116.01,81672.33,3718.32,Broker,Portoviejo,Activa
POL-00172,ASG-00185,Vehículos,2023-05-04,2024-05-03,7707.96,132445.93,5009.47,Broker,Cuenca,Cancelada
POL-00173,ASG-00067,Hogar,2023-01-23,2024-01-23,2689.35,89148.82,4080.55,Agente,Esmeraldas,Activa
POL-00174,ASG-00061,Vida,2023-12-08,2024-12-07,6625.05,100778.35,1914.85,Broker,Portoviejo,Vencida
POL-00175,ASG-00323,Vehículos,2024-10-22,2025-10-22,4637.25,77601.14,2474.53,Broker,Loja,Cancelada
POL-00176,ASG-00429,Vida,2023-04-10,2024-04-09,3683.61,88253.06,2685.9,Digital,Cuenca,Activa
POL-00177,ASG-00210,Vida,2023-07-22,2024-07-21,5240.96,108650.96,959.55,Directo,Quito,Activa
POL-00178,ASG-00187,Salud,2024-03-20,2025-03-20,4820.84,134398.98,883.8,Agente,Ibarra,Activa
POL-00179,ASG-00049,Vehículos,2024-10-29,2025-10-29,9842.47,125298.05,5499.92,Broker,Ambato,Activa
POL-00180,ASG-00452,Salud,2024-02-06,2025-02-05,6475.61,82074.59,3277.39,Directo,Manta,Cancelada
POL-00181,ASG-00128,Vida,2023-01-06,2024-01-06,2223.4,38645.1,1793.91,Broker,Guayaquil,Activa
POL-00182,ASG-00497,Vehículos,2024-11-07,2025-11-07,1852.15,54801.98,2505.4,Bancaseguros,Guayaquil,Cancelada
POL-00183,ASG-00301,Hogar,2023-07-08,2024-07-07,1269.71,41972.11,428.68,Agente,Ambato,Activa
POL-00184,ASG-00083,Hogar,2023-06-02,2024-06-01,5231.29,87692.68,2828.65,Broker,Manta,Activa
POL-00185,ASG-00327,Vida,2024-11-08,2025-11-08,3750.24,50116.36,538.82,Agente,Esmeraldas,Activa
POL-00186,ASG-00056,Salud,2024-06-04,2025-06-04,2516.82,49937.24,1676.65,Broker,Loja,Activa
POL-00187,ASG-00254,Hogar,2023-08-08,2024-08-07,1949.04,71882.43,1150.53,Agente,Loja,Cancelada
POL-00188,ASG-00076,Hogar,2023-06-29,2024-06-28,6833.7,95386.38,3806.09,Broker,Riobamba,Activa
POL-00189,ASG-00116,Vida,2024-05-10,2025-05-10,7776.16,137908.43,6446.6,Broker,Quito,Activa
POL-00190,ASG-00455,Salud,2023-09-17,2024-09-16,2495.33,86260.15,3360.39,Digital,Quito,Vencida
POL-00191,ASG-00011,Hogar,2024-12-26,2025-12-26,785.32,33231.98,1391.82,Agente,Ibarra,Cancelada
POL-00192,ASG-00168,Hogar,2023-06-13,2024-06-12,2338.52,72125.77,3059.45,Bancaseguros,Manta,Cancelada
POL-00193,ASG-00294,Generales,2024-03-21,2025-03-21,524.76,9406.81,381.36,Broker,Loja,Cancelada
POL-00194,ASG-00109,Salud,2024-07-11,2025-07-11,6583.05,97743.38,3609.15,Digital,Guayaquil,Activa
POL-00195,ASG-00022,Generales,2024-09-27,2025-09-27,6127.26,97455.05,1662.17,Broker,Machala,Cancelada
POL-00196,ASG-00272,Vida,2023-10-29,2024-10-28,3158.39,50920.32,1298.73,Digital,Riobamba,Activa
POL-00197,ASG-00292,Generales,2023-09-22,2024-09-21,978.51,12788.36,341.25,Agente,Machala,Cancelada
POL-00198,ASG-00210,Generales,2023-09-08,2024-09-07,714.43,32308.84,1083.54,Bancaseguros,Loja,Cancelada
POL-00199,ASG-00069,Salud,2023-09-12,2024-09-11,607.61,8960.71,322.66,Broker,Portoviejo,Activa
POL-00200,ASG-00233,Hogar,2024-09-02,2025-09-02,548.62,10195.39,320.19,Digital,Cuenca,Activa
POL-00201,ASG-00117,Salud,2023-10-29,2024-10-28,6618.35,112680.52,835.95,Digital,Santo Domingo,Activa
POL-00202,ASG-00468,Salud,2023-03-10,2024-03-09,7125.96,129023.95,841.87,Bancaseguros,Riobamba,Vencida
POL-00203,ASG-00343,Vida,2023-07-10,2024-07-09,1471.72,41554.68,767.64,Agente,Loja,Activa
POL-00204,ASG-00275,Vehículos,2023-12-24,2024-12-23,2553.96,52815.19,485.41,Bancaseguros,Machala,Cancelada
POL-00205,ASG-00344,Hogar,2024-06-30,2025-06-30,532.28,13385.95,251.83,Directo,Santo Domingo,Activa
POL-00206,ASG-00361,Generales,2024-11-26,2025-11-26,1143.69,31356.91,637.54,Broker,Quito,Vencida
POL-00207,ASG-00183,Hogar,2024-11-14,2025-11-14,3100.98,66662.07,620.66,Digital,Ambato,Cancelada
POL-00208,ASG-00343,Salud,2024-08-10,2025-08-10,4652.07,99801.74,1660.18,Digital,Riobamba,Activa
POL-00209,ASG-00326,Vida,2024-03-19,2025-03-19,8902.95,135864.68,5111.68,Agente,Guayaquil,Cancelada
POL-00210,ASG-00227,Hogar,2024-01-09,2025-01-08,3835.21,89979.87,2464.15,Agente,Esmeraldas,Activa
POL-00211,ASG-00330,Hogar,2023-05-22,2024-05-21,1688.03,79869.35,483.34,Bancaseguros,Ambato,Activa
POL-00212,ASG-00172,Vida,2023-07-09,2024-07-08,2918.77,122360.64,3970.36,Bancaseguros,Esmeraldas,Vencida
POL-00213,ASG-00334,Salud,2023-01-11,2024-01-11,2440.03,51243.56,1380.1,Agente,Loja,Activa
POL-00214,ASG-00492,Hogar,2024-10-24,2025-10-24,6560.19,135882.5,1681.29,Broker,Ambato,Vencida
POL-00215,ASG-00418,Vida,2023-11-20,2024-11-19,3328.92,68444.46,2261.61,Broker,Guayaquil,Activa
POL-00216,ASG-00334,Vida,2024-01-26,2025-01-25,7690.39,99730.23,690.72,Digital,Santo Domingo,Activa
POL-00217,ASG-00491,Generales,2024-05-29,2025-05-29,2723.14,84165.52,2144.8,Broker,Portoviejo,Vencida
POL-00218,ASG-00047,Salud,2023-08-09,2024-08-08,1211.23,58185.57,1549.78,Bancaseguros,Manta,Cancelada
POL-00219,ASG-00316,Hogar,2024-03-01,2025-03-01,544.57,20859.33,1022.59,Digital,Machala,Cancelada
POL-00220,ASG-00257,Generales,2024-01-16,2025-01-15,579.09,20446.31,559.75,Agente,Loja,Vencida
POL-00221,ASG-00246,Salud,2023-11-23,2024-11-22,7680.74,132525.39,4699.34,Agente,Loja,Vencida
POL-00222,ASG-00017,Vehículos,2024-10-07,2025-10-07,385.25,7251.69,88.5,Broker,Loja,Cancelada
POL-00223,ASG-00432,Hogar,2023-09-12,2024-09-11,4169.78,74114.61,1598.14,Bancaseguros,Santo Domingo,Vencida
POL-00224,ASG-00257,Vida,2024-04-15,2025-04-15,3472.31,146693.34,5190.12,Broker,Manta,Vencida
POL-00225,ASG-00382,Vehículos,2024-03-13,2025-03-13,6720.39,106844.91,3513.79,Directo,Ibarra,Activa
POL-00226,ASG-00005,Salud,2023-01-07,2024-01-07,300.66,7820.21,348.98,Directo,Cuenca,Activa
POL-00227,ASG-00064,Salud,2023-04-02,2024-04-01,2647.38,123501.19,2616.8,Directo,Machala,Vencida
