id_asegurado,segmento,antiguedad_anos,ciudad,numero_polizas,reclamos_ultimos_12m,mora_actual,score_cliente,en_lista_restrictiva
ASG-00057,Preferente,2,Loja,1,0,0,610.1,0
ASG-00058,Individual,17,Loja,3,1,0,830.3,0
ASG-00059,Corporativo,12,Esmeraldas,2,2,2,745.5,0
ASG-00060,Individual,4,Esmeraldas,2,1,0,426.5,0
ASG-00061,PYME,6,Loja,4,3,2,803.3,0
ASG-00062,Preferente,15,Machala,5,1,3,304.5,0
ASG-00063,PYME,17,Quito,5,0,0,305.5,0
ASG-00064,PYME,13,Loja,4,1,0,363.5,0
ASG-00065,PYME,10,Manta,2,1,1,594.0,0
ASG-00066,Individual,2,Portoviejo,2,0,1,543.2,0
ASG-00067,Preferente,10,Portoviejo,3,1,0,484.4,0
ASG-00068,Individual,20,Portoviejo,4,3,3,777.1,0
ASG-00069,PYME,1,Quito,5,0,2,777.1,0
ASG-00070,PYME,5,Riobamba,5,2,2,701.5,0
ASG-00071,Corporativo,13,Esmeraldas,5,1,1,859.4,0
ASG-00072,Individual,19,Esmeraldas,4,1,2,664.9,0
ASG-00073,Corporativo,8,Quito,3,1,3,804.7,0
ASG-00074,Corporativo,17,Machala,2,0,0,612.2,0
ASG-00075,Preferente,15,Ibarra,1,1,2,699.5,0
ASG-00076,Individual,3,Machala,5,0,3,521.9,1
ASG-00077,PYME,7,Ibarra,4,3,0,747.1,0
ASG-00078,PYME,7,Machala,1,3,3,419.4,0
ASG-00079,PYME,6,Loja,2,0,0,634.3,0
ASG-00080,Corporativo,11,Manta,4,0,0,637.5,0
ASG-00081,Individual,15,Manta,5,1,0,817.1,0
ASG-00082,Corporativo,1,Manta,5,1,2,710.8,0
ASG-00083,Preferente,2,Machala,5,1,0,312.1,0
ASG-00084,Corporativo,17,Santo Domingo,1,0,0,753.9,0
ASG-00085,Individual,9,Riobamba,3,0,1,530.2,0
ASG-00086,Individual,20,Portoviejo,4,0,3,379.1,0
ASG-00087,Individual,19,Cuenca,4,0,0,316.9,0
ASG-00088,Corporativo,16,Machala,5,0,3,689.3,0
ASG-00089,PYME,2,Quito,5,2,0,685.9,0
ASG-00090,PYME,7,Esmeraldas,2,0,0,700.5,0
ASG-00091,Individual,12,Santo Domingo,1,1,0,765.3,0
ASG-00092,Preferente,17,Machala,1,1,1,568.0,0
ASG-00093,Corporativo,15,Cuenca,1,1,3,644.8,0
ASG-00094,Corporativo,15,Ambato,3,0,0,343.2,0
ASG-00095,Preferente,16,Ibarra,1,1,2,802.3,0
ASG-00096,PYME,1,Santo Domingo,1,0,0,542.5,0
ASG-00097,PYME,13,Riobamba,4,3,2,674.1,0
ASG-00098,Preferente,8,Loja,1,0,3,852.2,0
ASG-00099,Individual,1,Guayaquil,3,2,0,590.6,0
ASG-00100,Corporativo,6,Santo Domingo,4,2,0,669.0,0
ASG-00101,Preferente,1,Ibarra,5,1,0,636.8,0
ASG-00102,PYME,18,Santo Domingo,2,1,0,844.3,0
ASG-00103,PYME,4,Ibarra,3,0,1,885.8,0
ASG-00104,Preferente,11,Loja,5,1,0,498.0,0
ASG-00105,Corporativo,18,Ambato,1,1,0,666.5,0
ASG-00106,Preferente,3,Guayaquil,1,0,1,510.6,0
ASG-00107,Individual,15,Manta,3,1,0,474.2,0
ASG-00108,Individual,16,Ibarra,3,2,1,618.2,0
ASG-00109,PYME,5,Loja,3,0,0,734.6,0
ASG-00110,PYME,2,Ambato,5,1,0,513.1,0
ASG-00111,Individual,3,Machala,3,0,0,843.6,0
ASG-00112,PYME,16,Riobamba,4,2,0,497.6,0
ASG-00113,Individual,16,Cuenca,2,1,2,667.3,0
ASG-00114,PYME,14,Portoviejo,4,0,0,585.7,0
ASG-00115,Preferente,8,Quito,3,0,1,689.5,0
ASG-00116,Individual,1,Machala,2,0,0,840.9,0
ASG-00117,Individual,19,Portoviejo,5,0,0,548.6,0
ASG-00118,Individual,18,Quito,2,2,0,887.6,0
ASG-00119,PYME,12,Esmeraldas,3,0,0,440.0,0
ASG-00120,Individual,4,Manta,3,1,0,338.9,0
ASG-00121,Corporativo,3,Loja,1,0,2,318.3,0
ASG-00122,Corporativo,2,Cuenca,3,1,0,303.5,0
ASG-00123,PYME,20,Portoviejo,4,0,1,728.8,0
ASG-00124,Individual,16,Quito,2,1,3,823.4,0
ASG-00125,Corporativo,2,Santo Domingo,4,0,0,804.5,0
ASG-00126,PYME,14,Quito,5,1,0,365.5,0
ASG-00127,Preferente,4,Cuenca,3,0,1,667.8,0
ASG-00128,Corporativo,13,Loja,4,0,2,785.2,0
ASG-00129,Preferente,11,Ibarra,5,1,2,737.0,0
ASG-00130,Preferente,19,Cuenca,4,2,0,600.4,0
ASG-00131,Individual,13,Portoviejo,2,0,0,499.2,0
ASG-00132,Corporativo,1,Quito,5,0,2,343.4,0
ASG-00133,Individual,15,Riobamba,3,1,0,856.4,0
ASG-00134,PYME,5,Loja,2,0,1,658.8,0
ASG-00135,Corporativo,11,Loja,5,0,0,820.4,0
ASG-00136,Preferente,11,Manta,4,0,2,547.5,0
ASG-00137,Preferente,6,Loja,5,1,0,687.6,0
ASG-00138,Individual,12,Guayaquil,4,0,3,469.1,0
ASG-00139,Preferente,6,Riobamba,5,0,0,516.0,0
ASG-00140,Corporativo,13,Quito,3,1,0,491.6,0
ASG-00141,Preferente,17,Ibarra,4,2,0,680.5,0
ASG-00142,Corporativo,1,Machala,1,0,0,412.9,0
ASG-00143,Preferente,20,Santo Domingo,1,1,0,723.4,0
ASG-00144,Preferente,14,Machala,4,1,2,517.7,0
ASG-00145,Corporativo,12,Portoviejo,4,2,0,728.1,0
ASG-00146,PYME,4,Machala,1,0,0,425.9,0
ASG-00147,Corporativo,3,Quito,1,0,0,448.5,0
ASG-00148,Corporativo,11,Manta,5,0,1,612.8,0
ASG-00149,Individual,4,Machala,4,1,0,457.3,0
ASG-00150,Individual,15,Santo Domingo,1,0,2,518.7,0
ASG-00151,Corporativo,15,Ambato,3,2,0,802.3,0
ASG-00152,Preferente,15,Ambato,5,0,1,383.5,0
ASG-00153,PYME,20,Loja,3,2,0,314.0,0
ASG-00154,Individual,13,Portoviejo,4,0,3,678.9,0
ASG-00155,Preferente,4,Riobamba,1,2,2,567.1,0
ASG-00156,Individual,17,Quito,3,3,0,758.4,0
ASG-00157,Corporativo,7,Esmeraldas,2,1,0,436.9,0
ASG-00158,Individual,2,Loja,5,0,0,591.7,0
ASG-00159,Preferente,16,Portoviejo,1,2,0,670.0,0
ASG-00160,PYME,15,Riobamba,2,2,2,840.9,0
ASG-00161,Individual,15,Esmeraldas,2,1,1,433.3,0
ASG-00162,Individual,17,Ambato,1,0,0,698.8,0
ASG-00163,Preferente,4,Cuenca,1,1,3,505.8,0
ASG-00164,Corporativo,14,Machala,4,1,0,611.8,0
ASG-00165,PYME,8,Loja,1,1,2,485.5,0
ASG-00166,Individual,15,Riobamba,3,1,0,764.9,0
ASG-00167,PYME,11,Quito,5,0,0,761.2,0
ASG-00168,Preferente,10,Machala,4,0,3,579.6,0
ASG-00169,Preferente,6,Loja,4,3,0,588.9,0
ASG-00170,PYME,8,Machala,1,0,2,588.4,0
ASG-00171,PYME,5,Ambato,4,1,2,733.3,0
ASG-00172,Individual,2,Riobamba,3,0,0,842.9,0
ASG-00173,Preferente,13,Santo Domingo,5,0,1,708.1,0
ASG-00174,Individual,13,Quito,2,1,0,643.1,0
ASG-00175,Corporativo,12,Quito,3,1,0,392.4,0
ASG-00176,PYME,7,Cuenca,4,0,2,553.1,0
ASG-00177,PYME,9,Loja,4,1,2,670.9,0
ASG-00178,Individual,19,Ambato,4,0,3,892.6,0
ASG-00179,Preferente,1,Loja,5,1,0,510.4,0
ASG-00180,Corporativo,9,Loja,5,0,1,582.9,0
ASG-00181,PYME,9,Guayaquil,1,2,0,713.9,0
ASG-00182,Corporativo,7,Manta,3,1,3,890.6,0
ASG-00183,Corporativo,4,Santo Domingo,1,0,0,555.1,0
ASG-00184,Corporativo,8,Quito,3,0,1,840.8,0
ASG-00185,Individual,13,Machala,1,0,1,829.9,0
ASG-00186,Preferente,5,Portoviejo,4,0,0,713.8,0
ASG-00187,Preferente,1,Ibarra,2,2,2,336.4,0
ASG-00188,Preferente,11,Esmeraldas,3,0,0,642.3,0
ASG-00189,Preferente,3,Loja,4,0,1,851.1,0
ASG-00190,PYME,12,Guayaquil,4,1,0,608.8,0
ASG-00191,PYME,14,Santo Domingo,5,1,3,436.0,0
ASG-00192,Corporativo,2,Cuenca,5,0,0,568.2,0
ASG-00193,Preferente,5,Esmeraldas,4,0,2,691.2,0
ASG-00194,Individual,4,Ibarra,1,2,1,502.2,0
ASG-00195,Preferente,3,Portoviejo,4,1,0,489.9,0
ASG-00196,PYME,10,Quito,3,0,0,372.4,0
ASG-00197,PYME,5,Manta,5,1,2,720.9,0
ASG-00198,Corporativo,13,Esmeraldas,2,1,0,626.4,0
ASG-00199,PYME,18,Manta,3,0,2,882.7,0
ASG-00200,Preferente,8,Riobamba,3,2,2,570.4,0
ASG-00201,Preferente,16,Loja,4,0,0,651.9,0
ASG-00202,Preferente,14,Ibarra,5,1,3,860.4,0
ASG-00203,Corporativo,10,Loja,4,2,0,845.4,0
ASG-00204,PYME,16,Machala,5,0,0,670.1,0
ASG-00205,Corporativo,7,Riobamba,4,2,0,899.6,0
ASG-00206,Corporativo,2,Ibarra,2,0,0,587.9,0
ASG-00207,Individual,3,Manta,4,1,1,671.6,0
ASG-00208,Corporativo,18,Cuenca,1,2,0,510.6,0
ASG-00209,Corporativo,6,Guayaquil,4,1,0,654.1,0
ASG-00210,Preferente,18,Santo Domingo,5,2,2,324.7,0
ASG-00211,Corporativo,18,Riobamba,1,0,3,495.8,0
ASG-00212,Corporativo,2,Riobamba,3,0,0,829.4,0
ASG-00213,Preferente,2,Riobamba,3,1,0,724.7,0
ASG-00214,PYME,17,Ibarra,3,0,0,665.0,0
ASG-00215,PYME,11,Quito,3,1,2,762.2,0
ASG-00216,Corporativo,13,Ambato,1,0,2,623.3,0
ASG-00217,Corporativo,9,Loja,3,1,0,452.3,0
ASG-00218,PYME,18,Guayaquil,5,0,0,406.6,0
ASG-00219,PYME,2,Cuenca,5,1,0,850.7,0
ASG-00220,PYME,14,Quito,2,0,3,506.1,0
ASG-00221,Preferente,20,Machala,4,0,3,400.8,0
ASG-00222,Preferente,2,Machala,4,0,0,710.6,0
ASG-00223,Corporativo,7,Loja,5,0,0,665.6,0
ASG-00224,Individual,16,Ibarra,1,2,0,393.3,0
ASG-00225,Corporativo,4,Guayaquil,1,1,0,340.4,0
ASG-00226,PYME,20,Loja,5,0,0,519.1,0
ASG-00227,Individual,4,Machala,3,0,0,578.0,0
ASG-00228,PYME,11,Ibarra,1,1,3,622.6,0
ASG-00229,Corporativo,10,Ibarra,1,0,3,826.3,0
ASG-00230,Corporativo,19,Manta,1,0,1,337.7,0
ASG-00231,Corporativo,4,Ibarra,2,0,2,563.9,0
ASG-00232,Preferente,12,Portoviejo,3,1,0,802.7,0
ASG-00233,Corporativo,18,Manta,4,1,2,546.5,0
ASG-00234,Corporativo,20,Santo Domingo,4,1,0,648.6,1
ASG-00235,Individual,11,Loja,2,1,0,695.9,0
ASG-00236,Corporativo,13,Santo Domingo,4,0,0,574.0,0
ASG-00237,Preferente,11,Ibarra,2,0,0,359.2,0
ASG-00238,Preferente,4,Riobamba,2,2,0,828.4,0
ASG-00239,Corporativo,5,Ambato,5,1,0,501.5,0
ASG-00240,Individual,7,Ambato,1,2,0,408.5,0
ASG-00241,Preferente,2,Ambato,4,1,1,394.3,0
ASG-00242,Preferente,13,Portoviejo,2,1,3,356.2,0
ASG-00243,PYME,2,Riobamba,4,1,0,518.8,0
ASG-00244,PYME,20,Quito,2,1,2,736.1,0
ASG-00245,Individual,16,Machala,3,1,1,857.8,0
ASG-00246,Individual,6,Santo Domingo,2,0,0,671.2,0
ASG-00247,PYME,3,Manta,1,0,1,419.8,0
ASG-00248,Individual,3,Machala,1,1,0,638.1,0
ASG-00249,Individual,20,Esmeraldas,4,0,0,782.0,0
ASG-00250,Corporativo,8,Guayaquil,3,1,3,579.2,0
ASG-00251,Individual,3,Loja,3,0,1,540.5,0
ASG-00252,Preferente,9,Ibarra,4,1,3,369.7,0
ASG-00253,Corporativo,20,Esmeraldas,1,2,0,610.7,0
ASG-00254,PYME,12,Cuenca,2,1,0,590.5,0
ASG-00255,Corporativo,13,Machala,4,1,0,791.5,0
ASG-00256,PYME,8,Ambato,2,0,0,476.2,0
ASG-00257,Preferente,17,Machala,2,0,0,625.9,0
ASG-00258,Corporativo,8,Loja,2,2,2,772.4,0
ASG-00259,PYME,10,Portoviejo,2,1,0,660.4,0
ASG-00260,Preferente,14,Portoviejo,3,0,0,609.7,0
ASG-00261,Preferente,9,Guayaquil,3,1,0,717.9,0
ASG-00262,PYME,7,Manta,4,3,1,492.4,0
ASG-00263,PYME,12,Santo Domingo,1,1,0,510.9,0
ASG-00264,Preferente,1,Portoviejo,2,0,2,848.3,0
ASG-00265,Individual,15,Machala,1,2,0,384.4,0
ASG-00266,PYME,3,Manta,5,0,0,571.3,0
ASG-00267,Corporativo,8,Santo Domingo,5,2,0,348.1,0
ASG-00268,Preferente,14,Quito,5,1,0,598.6,0
ASG-00269,Corporativo,18,Manta,5,1,3,611.4,0
ASG-00270,Preferente,8,Cuenca,2,2,0,770.2,1
ASG-00271,Preferente,16,Riobamba,5,0,3,598.0,0
ASG-00272,PYME,3,Ibarra,3,1,0,870.2,0
ASG-00273,Individual,10,Quito,1,1,0,632.8,0
ASG-00274,Individual,1,Manta,4,0,0,857.6,0
ASG-00275,Individual,12,Cuenca,5,2,0,607.1,0
ASG-00276,PYME,17,Loja,2,0,1,593.6,0
ASG-00277,Individual,10,Loja,4,1,2,812.5,0
ASG-00278,Corporativo,19,Ibarra,5,0,1,343.1,0
ASG-00279,Corporativo,1,Quito,3,0,0,430.4,0
ASG-00280,Preferente,4,Esmeraldas,1,0,0,805.7,0
ASG-00281,Corporativo,15,Ambato,3,0,2,344.1,0
ASG-00282,Preferente,15,Riobamba,1,1,0,709.8,0
ASG-00283,Individual,8,Ibarra,4,2,0,773.8,0
ASG-00284,PYME,11,Quito,2,0,0,691.8,0
ASG-00285,Corporativo,3,Esmeraldas,4,1,0,752.0,0
ASG-00286,Preferente,6,Machala,1,0,0,348.9,0
ASG-00287,Preferente,6,Esmeraldas,5,0,2,573.0,0
ASG-00288,Preferente,13,Guayaquil,4,0,3,662.7,0
ASG-00289,PYME,8,Ambato,4,2,2,690.3,0
ASG-00290,Preferente,17,Esmeraldas,5,1,0,582.6,0
ASG-00291,Corporativo,4,Portoviejo,1,0,0,698.4,0
ASG-00292,Corporativo,9,Cuenca,4,0,1,848.6,0
ASG-00293,Preferente,17,Santo Domingo,2,0,2,639.3,0
ASG-00294,Corporativo,7,Riobamba,1,0,3,433.5,0
ASG-00295,PYME,13,Cuenca,3,0,0,776.1,0
ASG-00296,Individual,5,Loja,3,0,0,881.7,0
ASG-00297,PYME,7,Santo Domingo,3,1,3,624.9,0
ASG-00298,Corporativo,14,Quito,1,0,2,718.1,0
ASG-00299,Preferente,19,Guayaquil,2,0,0,871.0,0
ASG-00300,Preferente,18,Ibarra,4,1,0,464.4,0
ASG-00301,PYME,8,Ambato,1,0,0,555.7,0
ASG-00302,Corporativo,11,Cuenca,2,0,0,408.0,0
ASG-00303,PYME,5,Guayaquil,1,0,2,548.9,1
ASG-00304,PYME,1,Guayaquil,3,0,2,407.0,0
ASG-00305,Individual,12,Ambato,1,1,0,575.8,0
ASG-00306,Individual,9,Ambato,3,0,2,401.6,0
ASG-00307,Preferente,6,Riobamba,4,3,0,316.9,0
ASG-00308,Individual,5,Cuenca,4,2,0,893.1,0
ASG-00309,Individual,16,Loja,4,1,3,888.3,0
ASG-00310,PYME,3,Esmeraldas,5,1,0,466.9,0
ASG-00311,PYME,3,Esmeraldas,5,0,2,725.7,0
ASG-00312,PYME,5,Portoviejo,2,1,0,764.5,0
ASG-00313,PYME,4,Cuenca,4,0,3,554.4,0
ASG-00314,Preferente,7,Loja,1,0,1,317.4,0
ASG-00315,Preferente,11,Portoviejo,4,0,3,846.5,0
ASG-00316,Individual,14,Ambato,5,1,0,749.9,0
ASG-00317,Preferente,13,Esmeraldas,2,1,3,855.9,0
ASG-00318,Corporativo,5,Santo Domingo,2,1,3,615.4,0
ASG-00319,Individual,15,Riobamba,1,0,1,760.9,0
ASG-00320,Individual,6,Loja,1,1,0,892.4,0
ASG-00321,Preferente,2,Loja,3,2,3,865.5,0
ASG-00322,Preferente,4,Riobamba,1,0,2,874.9,0
ASG-00323,PYME,10,Ambato,3,0,0,632.7,0
ASG-00324,PYME,12,Manta,3,3,0,867.4,0
ASG-00325,Corporativo,18,Ibarra,3,1,2,573.3,0
ASG-00326,Individual,19,Loja,2,0,0,751.6,0
ASG-00327,Corporativo,20,Ibarra,2,2,0,844.0,0
ASG-00328,Corporativo,12,Ibarra,2,1,1,881.9,0
ASG-00329,Preferente,10,Santo Domingo,1,1,0,475.1,0
ASG-00330,Corporativo,8,Guayaquil,2,2,0,781.6,0
ASG-00331,Preferente,18,Portoviejo,5,1,0,684.0,0
ASG-00332,PYME,6,Riobamba,5,0,0,494.1,0
ASG-00333,Preferente,6,Guayaquil,3,2,3,385.9,0
ASG-00334,Individual,8,Loja,2,1,0,460.8,0
ASG-00335,Corporativo,11,Riobamba,3,0,0,468.8,0
ASG-00336,Individual,4,Santo Domingo,1,1,1,710.4,0
ASG-00337,Corporativo,12,Ibarra,5,1,0,358.7,0
ASG-00338,Corporativo,4,Santo Domingo,5,1,2,407.0,0
ASG-00339,Corporativo,12,Guayaquil,2,0,0,366.3,1
ASG-00340,PYME,16,Quito,4,0,0,680.5,0
ASG-00341,PYME,9,Ibarra,5,1,0,376.0,0
ASG-00342,Individual,13,Quito,5,2,3,883.6,0
ASG-00343,Corporativo,9,Ibarra,5,0,3,864.7,0
ASG-00344,PYME,2,Riobamba,4,0,0,722.4,0
ASG-00345,Corporativo,10,Ambato,2,2,0,766.9,0
ASG-00346,Corporativo,18,Esmeraldas,4,1,0,541.7,0
ASG-00347,PYME,7,Cuenca,3,2,2,683.8,0
ASG-00348,Individual,11,Santo Domingo,3,0,0,346.0,0
ASG-00349,Corporativo,12,Guayaquil,4,0,0,440.1,0
ASG-00350,PYME,10,Esmeraldas,4,0,2,508.1,0
ASG-00351,Corporativo,17,Riobamba,3,3,1,630.9,0
ASG-00352,Individual,10,Ambato,5,0,1,631.2,0
ASG-00353,PYME,1,Santo Domingo,4,0,0,522.2,0
ASG-00354,Individual,10,Santo Domingo,3,0,0,825.9,0
ASG-00355,PYME,14,Loja,4,0,2,718.1,0
ASG-00356,PYME,19,Portoviejo,5,2,1,783.6,1
ASG-00357,PYME,7,Manta,1,0,0,813.9,0
ASG-00358,Preferente,11,Riobamba,2,1,2,594.8,0
ASG-00359,Preferente,3,Machala,5,0,0,572.1,0
ASG-00360,Individual,16,Quito,3,4,3,705.0,0
ASG-00361,Corporativo,9,Machala,4,1,3,358.4,0
ASG-00362,PYME,17,Ibarra,4,1,0,862.3,0
ASG-00363,PYME,2,Guayaquil,5,4,0,783.1,0
ASG-00364,PYME,6,Ibarra,5,1,2,664.6,0
ASG-00365,PYME,11,Portoviejo,2,0,0,783.1,0
ASG-00366,Individual,1,Ambato,3,2,1,347.8,0
ASG-00367,Preferente,13,Santo Domingo,3,0,0,868.5,0
ASG-00368,Individual,12,Manta,1,0,3,403.1,0
ASG-00369,Corporativo,17,Ambato,2,0,0,308.5,0
ASG-00370,Individual,18,Manta,4,0,0,453.8,0
ASG-00371,Corporativo,10,Santo Domingo,2,1,3,709.4,0
ASG-00372,Individual,20,Loja,5,1,2,340.9,0
ASG-00373,Preferente,10,Santo Domingo,4,0,0,414.0,0
ASG-00374,Corporativo,15,Riobamba,5,0,0,811.6,0
ASG-00375,Corporativo,11,Manta,1,0,1,544.9,0
ASG-00376,Individual,19,Portoviejo,2,0,0,314.4,0
ASG-00377,Individual,17,Santo Domingo,5,1,1,546.5,0
ASG-00378,Individual,16,Esmeraldas,2,0,3,405.9,0
ASG-00379,PYME,3,Santo Domingo,4,1,2,465.0,1
ASG-00380,Preferente,11,Ibarra,3,1,0,736.7,0
ASG-00381,Corporativo,9,Ambato,1,0,0,656.1,0
ASG-00382,Corporativo,19,Manta,1,3,1,885.6,0
ASG-00383,Individual,19,Riobamba,2,0,2,821.9,0
ASG-00384,Corporativo,15,Ibarra,1,0,3,460.7,0
ASG-00385,Corporativo,9,Manta,4,0,1,476.5,0
ASG-00386,Individual,2,Quito,5,0,0,790.8,0
ASG-00387,Corporativo,8,Guayaquil,1,1,0,560.8,0
ASG-00388,Individual,7,Esmeraldas,4,1,0,670.0,0
ASG-00389,Corporativo,17,Santo Domingo,1,0,3,657.6,0
ASG-00390,Preferente,2,Riobamba,4,1,2,858.0,0
ASG-00391,Corporativo,7,Quito,2,2,3,814.5,0
ASG-00392,Individual,7,Riobamba,2,0,0,622.1,0
ASG-00393,Individual,6,Esmeraldas,2,0,2,445.2,0
ASG-00394,Preferente,16,Ambato,2,1,0,452.7,0
ASG-00395,PYME,15,Portoviejo,5,1,3,342.3,0
ASG-00396,PYME,3,Machala,4,1,1,836.0,1
ASG-00397,Individual,2,Loja,3,0,0,712.6,0
ASG-00398,Individual,4,Manta,5,1,0,604.7,0
ASG-00399,Preferente,5,Quito,4,2,2,523.4,0
ASG-00400,PYME,11,Esmeraldas,5,1,0,759.9,0
ASG-00401,Corporativo,7,Manta,3,0,2,376.3,0
ASG-00402,PYME,6,Cuenca,3,1,0,680.6,0
ASG-00403,Individual,3,Ibarra,5,1,0,655.8,0
ASG-00404,Individual,13,Machala,5,2,1,661.1,0
ASG-00405,PYME,10,Portoviejo,5,1,1,752.7,0
ASG-00406,Preferente,7,Ambato,4,0,0,850.6,0
ASG-00407,PYME,10,Guayaquil,2,0,0,388.6,0
ASG-00408,Individual,3,Guayaquil,4,0,0,485.0,0
ASG-00409,PYME,2,Manta,2,0,2,796.9,0
